subscription_id,user_id,plan,start_date,end_date
1,1,Standard,2023-07-26,2024-05-13
2,2,Premium,2023-12-23,2024-05-04
3,3,Premium,2023-06-01,2024-06-09
4,4,Basic,2023-10-11,2024-03-02
5,5,Standard,2023-03-07,2024-03-11
6,6,Basic,2023-04-09,2024-04-22
7,7,Basic,2023-08-04,2024-01-20
8,8,Premium,2023-12-07,2024-03-14
9,9,Standard,2023-07-14,2024-03-01
10,10,Basic,2023-12-13,2024-03-10
11,11,Premium,2023-03-31,2024-03-26
12,12,Standard,2023-11-12,2024-03-22
13,13,Standard,2023-10-19,2024-05-18
14,14,Basic,2023-06-04,2024-01-21
15,15,Basic,2023-07-27,2024-02-05
16,16,Premium,2023-10-08,2024-02-08
17,17,Premium,2023-01-01,2024-02-29
18,18,Standard,2023-06-05,2024-04-08
19,19,Premium,2023-05-27,2024-06-26
20,20,Standard,2023-04-18,2024-02-09
21,21,Basic,2023-08-09,2024-06-29
22,22,Basic,2023-10-24,2024-02-24
23,23,Basic,2023-11-07,2024-01-17
24,24,Premium,2023-12-02,2024-04-16
25,25,Premium,2023-06-14,2024-04-14
26,26,Premium,2023-08-27,2024-03-25
27,27,Premium,2023-08-15,2024-05-18
28,28,Basic,2023-08-15,2024-04-29
29,29,Basic,2023-12-12,2024-04-16
30,30,Basic,2023-04-20,2024-01-16
31,31,Premium,2023-09-19,2024-02-22
32,32,Premium,2023-08-31,2024-04-17
33,33,Standard,2023-03-28,2024-04-09
34,34,Standard,2023-12-04,2024-05-29
35,35,Basic,2023-02-13,2024-06-27
36,36,Premium,2023-05-26,2024-01-06
37,37,Premium,2023-09-21,2024-05-27
38,38,Premium,2023-12-06,2024-04-07
39,39,Premium,2023-11-21,2024-05-02
40,40,Premium,2023-11-14,2024-01-02
41,41,Basic,2023-06-21,2024-03-31
42,42,Premium,2023-02-17,2024-03-17
43,43,Basic,2023-05-01,2024-04-09
44,44,Premium,2023-12-11,2024-04-17
45,45,Premium,2023-06-08,2024-05-17
46,46,Premium,2023-04-26,2024-05-19
47,47,Premium,2023-04-12,2024-06-03
48,48,Basic,2023-03-17,2024-02-26
49,49,Premium,2023-01-13,2024-05-04
50,50,Basic,2023-01-24,2024-02-26
51,51,Premium,2023-05-06,2024-03-10
52,52,Premium,2023-09-01,2024-04-21
53,53,Basic,2023-11-09,2024-05-04
54,54,Premium,2023-02-07,2024-01-08
55,55,Standard,2023-08-22,2024-04-09
56,56,Basic,2023-08-01,2024-03-27
57,57,Premium,2023-11-19,2024-06-20
58,58,Basic,2023-10-22,2024-06-22
59,59,Basic,2023-04-10,2024-04-13
60,60,Basic,2023-12-23,2024-02-12
61,61,Basic,2023-07-16,2024-04-29
62,62,Premium,2023-09-11,2024-02-02
63,63,Premium,2023-07-24,2024-06-08
64,64,Basic,2023-05-05,2024-05-16
65,65,Standard,2023-03-17,2024-01-07
66,66,Standard,2023-12-02,2024-04-10
67,67,Premium,2023-12-19,2024-05-31
68,68,Standard,2023-01-03,2024-05-24
69,69,Premium,2023-02-24,2024-06-18
70,70,Basic,2023-08-06,2024-01-07
71,71,Premium,2023-04-23,2024-01-22
72,72,Basic,2023-04-01,2024-06-13
73,73,Premium,2023-12-23,2024-04-19
74,74,Basic,2023-09-23,2024-02-04
75,75,Basic,2023-08-26,2024-04-28
76,76,Standard,2023-01-26,2024-02-16
77,77,Premium,2023-10-13,2024-01-13
78,78,Basic,2023-05-08,2024-03-07
79,79,Standard,2023-03-04,2024-04-07
80,80,Standard,2023-08-22,2024-03-24
81,81,Standard,2023-03-10,2024-02-24
82,82,Standard,2023-08-26,2024-04-26
83,83,Basic,2023-12-08,2024-03-24
84,84,Premium,2023-09-29,2024-03-27
85,85,Basic,2023-10-14,2024-04-07
86,86,Premium,2023-11-01,2024-03-12
87,87,Standard,2023-06-12,2024-04-17
88,88,Premium,2023-08-15,2024-03-05
89,89,Premium,2023-11-10,2024-01-21
90,90,Premium,2023-09-16,2024-04-30
91,91,Standard,2023-08-07,2024-01-05
92,92,Basic,2023-10-08,2024-05-18
93,93,Standard,2023-08-17,2024-01-14
94,94,Basic,2023-03-23,2024-03-30
95,95,Basic,2023-09-01,2024-02-27
96,96,Premium,2023-08-19,2024-06-15
97,97,Premium,2023-05-13,2024-01-18
98,98,Basic,2023-05-07,2024-06-15
99,99,Basic,2023-11-23,2024-01-11
100,100,Standard,2023-05-22,2024-01-08
